"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","corr_resp","probe","target","foil1","foil2","condition","question","roomNum","sameRoom","context"
"4546.8350000010105","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared immediately after this object?</p><p><img src= 'images/stimuli/8.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/61.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/83.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/12.png' style='width:100%'>3</p></div></div>","49","html-keyboard-response","84","249167","0.0-5.0-1.13","temporalOrder","1","8","images/stimuli/61.png","images/stimuli/12.png","images/stimuli/83.png","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared immediately after this object?","10","1","within-walls"
"null","","null","html-keyboard-response","85","249668","0.0-5.0-2.13","blank","","","","","","","","","",""
"1588.4649999934481","<p>In the video you just watched, in which room did this object appear?</p><p><img src= 'images/stimuli/8.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","49","html-keyboard-response","86","251258","0.0-5.0-3.13","roomType","2","","","","","5","","10","",""
"null","","null","html-keyboard-response","87","251759","0.0-5.0-4.13","blank","","","","","","","","","",""
"388.0849999986822","<p>In the video you just watched, on which table did the object appear?</p><p><img src= 'images/stimuli/8.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","50","html-keyboard-response","88","252148","0.0-5.0-5.13","tableNum","2","","","","","5","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","89","252648","0.0-5.0-0.14","fixation","","","","","","","","","",""
"7549.76500000339","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared immediately after this object?</p><p><img src= 'images/stimuli/72.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/5.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/86.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/53.png' style='width:100%'>3</p></div></div>","51","html-keyboard-response","90","260199","0.0-5.0-1.14","temporalOrder","2","72","images/stimuli/86.png","images/stimuli/53.png","images/stimuli/5.png","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared immediately after this object?","15","1","within-no-walls"
"null","","null","html-keyboard-response","91","260701","0.0-5.0-2.14","blank","","","","","","","","","",""
"3306.9800000084797","<p>In the video you just watched, in which room did this object appear?</p><p><img src= 'images/stimuli/72.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","50","html-keyboard-response","92","264009","0.0-5.0-3.14","roomType","1","","","","","5","","15","",""
"null","","null","html-keyboard-response","93","264510","0.0-5.0-4.14","blank","","","","","","","","","",""
