"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","worker_id","corr_resp","probe","target","foil1","dist1","foil1Pos","foil2","dist2","foil2Pos","subjCond","questionOrder","counterbalance_condition","question","roomNum","roomType","sameRoom","context","targetTable","foil1Table","foil2Table","imageSize"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","178","365183","0.0-5.0-0.7","fixation","","","","","","","","","","","","","","","","","","","","","",""
"14.50499999918975","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/26.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/80.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/44.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/55.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","179","365199","0.0-5.0-1.7","temporalOrder2","10390","1","26","images/stimuli/80.png","images/stimuli/44.png","-36","2","images/stimuli/55.png","30","3","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","22","m","1","within","3","3","3","0.28825622775800713"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","180","365708","0.0-5.0-0.8","fixation","","","","","","","","","","","","","","","","","","","","","",""
"20.73999999993248","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/31.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/49.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/9.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/85.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","181","365732","0.0-5.0-1.8","temporalOrder2","10390","1","31","images/stimuli/49.png","images/stimuli/85.png","-7","3","images/stimuli/9.png","31","2","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","27","m","0","across","2","3","3","0.28825622775800713"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","182","366242","0.0-5.0-0.9","fixation","","","","","","","","","","","","","","","","","","","","","",""
"0.9700000009615906","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/49.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/50.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/22.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/40.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","183","366245","0.0-5.0-1.9","temporalOrder2","10390","1","49","images/stimuli/50.png","images/stimuli/22.png","-38","2","images/stimuli/40.png","8","3","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","26","m","1","within","3","3","3","0.28825622775800713"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","184","366755","0.0-5.0-0.10","fixation","","","","","","","","","","","","","","","","","","","","","",""
"16.51000000128988","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/0.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/73.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/70.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/28.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","185","366774","0.0-5.0-1.10","temporalOrder2","10390","1","0","images/stimuli/73.png","images/stimuli/70.png","-9","2","images/stimuli/28.png","28","3","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","10","m","0","across","2","3","2","0.28825622775800713"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","186","367279","0.0-5.0-0.11","fixation","","","","","","","","","","","","","","","","","","","","","",""
"93.44000000419328","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/10.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/20.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/87.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/25.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","187","367375","0.0-5.0-1.11","temporalOrder2","10390","1","10","images/stimuli/20.png","images/stimuli/87.png","-14","2","images/stimuli/25.png","5","3","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","30","m","0","across","2","2","3","0.28825622775800713"
