"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","test_part","corr_resp","probe","target","fpil1","foil2","condition","question","roomNum","sameRoom","context"
"","html-keyboard-response","409","621436","0.0-2.0-5.67","429","<img src= images/stimuli/45.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","","","","","","","","","","",""
"","html-keyboard-response","410","621938","0.0-2.0-0.68","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","411","622274","0.0-2.0-1.68","335","<img src= images/stimuli/21.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/55.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/34.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/14.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","temporalOrder","1","21","images/stimuli/55.png","images/stimuli/34.png","images/stimuli/14.png","2","What came before this object?","38","","across"
"","html-keyboard-response","412","622775","0.0-2.0-2.68","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","413","623172","0.0-2.0-3.68","396","<img src= images/stimuli/21.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","","","","","","","","","","",""
"","html-keyboard-response","414","623673","0.0-2.0-4.68","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","415","624085","0.0-2.0-5.68","411","<img src= images/stimuli/21.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","","","","","","","","","","",""
"","html-keyboard-response","416","624586","0.0-2.0-0.69","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","417","625134","0.0-2.0-1.69","544","<img src= images/stimuli/13.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/9.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/68.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/75.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","2","13","images/stimuli/68.png","images/stimuli/75.png","images/stimuli/9.png","2","What came before this object?","41","","across"
"","html-keyboard-response","418","625634","0.0-2.0-2.69","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","419","626076","0.0-2.0-3.69","440","<img src= images/stimuli/13.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","","","","","","","","","","",""
"","html-keyboard-response","420","626576","0.0-2.0-4.69","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","421","626913","0.0-2.0-5.69","335","<img src= images/stimuli/13.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","","","","","","","","","","",""
"","html-keyboard-response","422","627414","0.0-2.0-0.70","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
