session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5df1e871c76aa61017098109,5d77c0eb4a666c0019561a80,APPROVED,2019-12-12 07:20:42.793000,2019-12-12 08:49:34.091000,5331.298,27,274,10,96,2019-12-12 11:28:28.105000,54FF5A9E,Portugal,Portugal,Due to start a new job within the next month,Portuguese,Portugal,Male,Yes
5df1e8727855d31017a83dd7,5dd81eb38ed6bf7c5be5eff3,RETURNED,2019-12-12 07:12:50.208000,,42779408.043795,36,257,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df1e873c4e1550fef0a204b,5d650ee54c485a00018c0747,APPROVED,2019-12-12 07:16:08.034000,2019-12-12 08:01:36.132000,2728.098,24,144,2,99,2019-12-12 08:29:41.355000,54FF5A9E,Italy,Greece,Full-Time,Italian,Italy,Male,No
5df1e8890108e50e79fa7438,5db99138bcd46f000ed93841,APPROVED,2019-12-12 07:13:13.694000,2019-12-12 08:18:38.887000,3925.193,34,225,1,100,2019-12-12 08:29:39.006000,54FF5A9E,Italy,Italy,Unemployed (and job seeking),Italian,Italy,Male,Yes
5df1e913192ef00f5cccca34,5debed6b3820732ef2af3c55,APPROVED,2019-12-12 07:15:31.847000,2019-12-12 07:52:16.456000,2204.609,25,13,0,100,2019-12-12 08:29:36.472000,54FF5A9E,United States,United States,Part-Time,English,United States,Male,No
5df1e9e3361a850f78081efd,5d4a6459061e2a000138bad3,APPROVED,2019-12-12 07:18:59.191000,2019-12-12 07:43:53.482000,1494.291,44,1086,2,100,2019-12-12 08:29:33.818000,54FF5A9E,United States,United States,Other,English,United States,Male,No
5df1eac14a2ad40fe52adb9b,597b11cb30f3ea000122f734,RETURNED,2019-12-12 07:22:45.425000,,42778812.869404,43,371,7,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df1eb1ec0b81f0fedbcdd00,5ced335ede266200161ea979,RETURNED,2019-12-12 07:24:14.455000,,42778723.839512,37,892,21,94,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df1ec61dc79bd0f6a0b364e,5d4602322f66d0001a1208c7,APPROVED,2019-12-12 07:29:37.680000,2019-12-12 08:12:41.928000,2584.248,33,1100,0,100,2019-12-12 08:29:31.284000,54FF5A9E,United States,Germany,Full-Time,English,United States,Male,No
5df226871306441242700bf8,5c1e3c9ce471fe0001bcac55,RETURNED,2019-12-12 11:37:46.095000,,42763512.211339,21,299,4,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df2268a99b282124c640207,5de7dfda271a1c751b58fee1,RETURNED,2019-12-12 11:37:48.878000,,42763509.428468,33,20,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df2268aecb3ea12c87d9a56,5dacd895fbeead001254c355,APPROVED,2019-12-12 11:39:17.423000,2019-12-12 12:17:33.040000,2295.617,30,328,0,100,2019-12-12 13:08:36.076000,54FF5A9E,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
5df227e4ae7b3012fb56eec4,5c7e7d92274125000179f2f0,APPROVED,2019-12-12 11:43:38.324000,2019-12-12 12:56:25.981000,4367.657,36,343,0,100,2019-12-12 13:20:26.904000,54FF5A9E,Romania,Netherlands,Full-Time,Romanian,Romania,Male,No
5df228a7bbaeff1295ed6d3b,5dc81319f375a959ed0ae171,RETURNED,2019-12-12 11:47:10.607000,,42762947.729334,32,541,26,89,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df22fab53b56e133358f885,5bde13864842880001306e6b,RETURNED,2019-12-12 12:16:43.679000,,42761174.657468,30,928,36,89,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df23ceaecb3ea1487c2687c,5c5bfae66e1e600001d65f3a,RETURNED,2019-12-12 13:14:26.751000,,42757711.585533,,164,4,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df23cec05620513dc6609c2,5d89c5bd2cbec60017e976f3,RETURNED,2019-12-12 13:13:16.473000,,42757781.887149,27,99,7,90,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df23e6b130644134ebd94b0,5dead5afbe2856201d4b9194,RETURNED,2019-12-12 13:25:40.227000,,42757038.133256,27,97,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df23f087dd4771408ca5d24,5cb6068cb79eec001440442a,RETURNED,2019-12-12 13:22:20.459000,,42757237.901325,,78,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df240682e47251481ed01e5,5dd31760fb7d41000c6610e3,RETURNED,2019-12-12 13:32:18.622000,,42756639.756544,31,563,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df241c001423f1492c2a7c5,5915bacd0a4b9d0001add6d5,RETURNED,2019-12-12 13:33:52.857000,,42756545.521634,24,337,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
