"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","success","test_part","correct_response","probe"
"7317.960000000196","<img src= stimuli/temporalOrder/60.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/18.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/51.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/49.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","200","1127960","0.0-3.0-1.49","","temporalOrder","1","60"
"null","","null","html-keyboard-response","201","1128461","0.0-3.0-2.49","","blank","",""
"1618.4949999877717","<img src= stimuli/temporalOrder/60.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/31.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/39.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/4.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","202","1130082","0.0-3.0-3.49","","contextMemory","1","60"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","203","1130587","0.0-3.0-0.50","","fixation","",""
"2705.8899999975692","<img src= stimuli/temporalOrder/44.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/25.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/21.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/71.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","204","1133294","0.0-3.0-1.50","","temporalOrder","3","44"
"null","","null","html-keyboard-response","205","1133796","0.0-3.0-2.50","","blank","",""
"2211.299999995623","<img src= stimuli/temporalOrder/44.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/41.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/42.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/4.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","206","1136009","0.0-3.0-3.50","","contextMemory","3","44"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","207","1136509","0.0-3.0-0.51","","fixation","",""
"8938.799999989104","<img src= stimuli/temporalOrder/6.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/38.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/5.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/47.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","208","1145450","0.0-3.0-1.51","","temporalOrder","1","6"
"null","","null","html-keyboard-response","209","1145954","0.0-3.0-2.51","","blank","",""
"4812.185000002617","<img src= stimuli/temporalOrder/6.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/30.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/36.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/43.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","210","1150768","0.0-3.0-3.51","","contextMemory","3","6"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","211","1151273","0.0-3.0-0.52","","fixation","",""
"4164.895000008866","<img src= stimuli/temporalOrder/77.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/76.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/36.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/81.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","212","1155439","0.0-3.0-1.52","","temporalOrder","3","77"
"null","","null","html-keyboard-response","213","1155942","0.0-3.0-2.52","","blank","",""
"3054.514999996405","<img src= stimuli/temporalOrder/77.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/3.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/6.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/37.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","214","1158998","0.0-3.0-3.52","","contextMemory","2","77"
