"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","worker_id","corr_resp","probe","target","foil1","dist1","foil1Pos","foil2","dist2","foil2Pos","subjCond","questionOrder","counterbalance_condition","question","roomNum","roomType","sameRoom","context","probeTable","foil1Table","foil2Table","imageSize"
"2253.515000018524","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/81.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/77.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/35.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/14.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","118","252313","0.0-3.0-1.57","temporalOrder1","10481","1","81","images/stimuli/77.png","images/stimuli/35.png","-6","2","images/stimuli/14.png","66","3","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","6","o","0","across","3","3","3","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","119","252813","0.0-3.0-0.58","fixation","","","","","","","","","","","","","","","","","","","","","",""
"2482.755000004545","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/54.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/50.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/14.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/7.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","120","255298","0.0-3.0-1.58","temporalOrder1","10481","2","54","images/stimuli/14.png","images/stimuli/50.png","-26","1","images/stimuli/7.png","6","3","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","39","o","1","within","2","2","2","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","121","255799","0.0-3.0-0.59","fixation","","","","","","","","","","","","","","","","","","","","","",""
"4943.035000003874","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/24.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/80.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/56.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/10.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","122","260743","0.0-3.0-1.59","temporalOrder1","10481","2","24","images/stimuli/56.png","images/stimuli/80.png","-6","1","images/stimuli/10.png","10","3","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","25","o","1","within","2","2","2","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","123","261245","0.0-3.0-0.60","fixation","","","","","","","","","","","","","","","","","","","","","",""
"3062.164999981178","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/66.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/7.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/20.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/67.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","124","264308","0.0-3.0-1.60","temporalOrder1","10481","3","66","images/stimuli/67.png","images/stimuli/20.png","-9","2","images/stimuli/7.png","16","1","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","34","o","1","within","2","3","2","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","125","264809","0.0-3.0-0.61","fixation","","","","","","","","","","","","","","","","","","","","","",""
"1380.45999998576","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/51.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/0.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/79.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/33.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","126","266191","0.0-3.0-1.61","temporalOrder1","10481","2","51","images/stimuli/79.png","images/stimuli/0.png","-21","1","images/stimuli/33.png","8","3","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","20","o","0","across","3","2","3","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","127","266692","0.0-3.0-0.62","fixation","","","","","","","","","","","","","","","","","","","","","",""
