"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","corr_resp","probe","target","foil1","foil2","condition","question","roomNum","sameRoom","context"
"333.16999999806285","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/28.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/33.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/49.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/26.png' style='width:100%'>3</p></div></div>","50","temporalOrder","html-keyboard-response","253","405814","0.0-0.0-1.42","1","28","images/stimuli/33.png","images/stimuli/26.png","images/stimuli/49.png","4","Which of the objects below came next?","23","0","across"
"null","","null","blank","html-keyboard-response","254","406317","0.0-0.0-2.42","","","","","","","","","",""
"951.4250000938773","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/28.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","49","roomType","html-keyboard-response","255","407271","0.0-0.0-3.42","2","","","","","4","","23","",""
"null","","null","blank","html-keyboard-response","256","407771","0.0-0.0-4.42","","","","","","","","","",""
"378.69999976828694","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/28.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","49","tableNum","html-keyboard-response","257","408151","0.0-0.0-5.42","3","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","258","408654","0.0-0.0-0.43","","","","","","","","","",""
"272.9150000959635","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/17.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/72.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/36.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/15.png' style='width:100%'>3</p></div></div>","50","temporalOrder","html-keyboard-response","259","408928","0.0-0.0-1.43","2","17","images/stimuli/36.png","images/stimuli/72.png","images/stimuli/15.png","4","Which of the objects below came next?","16","0","across"
"null","","null","blank","html-keyboard-response","260","409428","0.0-0.0-2.43","","","","","","","","","",""
"962.3199999332428","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/17.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","50","roomType","html-keyboard-response","261","410392","0.0-0.0-3.43","1","","","","","4","","16","",""
"null","","null","blank","html-keyboard-response","262","410894","0.0-0.0-4.43","","","","","","","","","",""
"303.5599999129772","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/17.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","49","tableNum","html-keyboard-response","263","411198","0.0-0.0-5.43","3","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","264","411700","0.0-0.0-0.44","","","","","","","","","",""
